treat,rep,time,count,dil,dil_fact,froz
b,1,T1,333,10000,40,2
b,2,T1,524,10000,40,2
b,3,T1,644,10000,40,2
b,4,T1,306,10000,40,2
b,5,T1,352,10000,40,2
b,6,T1,227,10000,40,2
m,1,T1,354,10000,40,2
m,2,T1,688,10000,40,2
m,3,T1,430,10000,40,2
m,4,T1,210,10000,40,2
m,5,T1,158,10000,40,2
m,6,T1,524,10000,40,2
p,1,T1,0,0,40,2
p,2,T1,200,10,40,2
p,3,T1,190,10,40,2
p,4,T1,83,10,40,2
p,5,T1,172,1,40,2
p,6,T1,226,10,40,2
pm,1,T1,88,10,40,2
pm,2,T1,23,10,40,2
pm,3,T1,564,10,40,2
pm,4,T1,156,10,40,2
pm,5,T1,896,10,40,2
pm,6,T1,106,10,40,2
b,1,T2,380,10000,40,2
b,2,T2,432,10000,40,2
b,3,T2,480,10000,40,2
b,4,T2,212,10000,40,2
b,5,T2,298,10000,40,2
b,6,T2,614,10000,40,2
m,1,T2,126,10000,40,2
m,2,T2,153,10000,40,2
m,3,T2,120,10000,40,2
m,4,T2,104,10000,40,2
m,5,T2,54,10000,40,2
m,6,T2,39,10000,40,2
p,1,T2,30,10,40,2
p,2,T2,0,0,40,2
p,3,T2,196,10,40,2
p,4,T2,676,10,40,2
p,5,T2,138,1,40,2
p,6,T2,0,0,40,2
pm,1,T2,860,10,40,2
pm,2,T2,960,10,40,2
pm,3,T2,368,10,40,2
pm,4,T2,668,10,40,2
pm,5,T2,652,10,40,2
pm,6,T2,524,10,40,2
b,1,T3,664,10000,40,2
b,2,T3,216,10000,40,2
b,3,T3,868,10000,40,2
b,4,T3,648,10000,40,2
b,5,T3,316,10000,40,2
b,6,T3,256,10000,40,2
m,1,T3,89,10000,40,2
m,2,T3,79,10000,40,2
m,3,T3,228,10000,40,2
m,4,T3,68,10000,40,2
m,5,T3,38,10000,40,2
m,6,T3,118,10000,40,2
p,1,T3,350,10,40,2
p,2,T3,20,10,40,2
p,3,T3,1116,100,40,2
p,4,T3,2448,100,40,2
p,5,T3,2216,100,40,2
p,6,T3,2336,100,40,2
pm,1,T3,238,100,40,2
pm,2,T3,2824,100,40,2
pm,3,T3,1792,100,40,2
pm,4,T3,66,100,40,2
pm,5,T3,83,10000,40,2
pm,6,T3,2352,100,40,2
b,1,T4,124,10000,40,2
b,2,T4,116,10000,40,2
b,3,T4,334,10000,40,2
b,4,T4,552,10000,40,2
b,5,T4,NA,10000,40,2
b,6,T4,260,10000,40,2
m,1,T4,20,10000,40,2
m,2,T4,NA,10000,40,2
m,3,T4,6,10000,40,2
m,4,T4,1,10000,40,2
m,5,T4,NA,10000,40,2
m,6,T4,11,10000,40,2
p,1,T4,218,10,40,2
p,2,T4,372,100,40,2
p,3,T4,1008,100,40,2
p,4,T4,85,10000,40,2
p,5,T4,65,10000,40,2
p,6,T4,2256,100,40,2
pm,1,T4,91,100,40,2
pm,2,T4,248,100,40,2
pm,3,T4,350,100,40,2
pm,4,T4,27,100,40,2
pm,5,T4,160,100,40,2
pm,6,T4,19,100,40,2
b,1,T5,NA,10000,40,2
b,2,T5,1208,10000,40,2
b,3,T5,1240,10000,40,2
b,4,T5,1368,10000,40,2
b,5,T5,NA,10000,40,2
b,6,T5,1656,10000,40,2
m,1,T5,404,10000,40,2
m,2,T5,NA,10000,40,2
m,3,T5,88,10000,40,2
m,4,T5,143,10000,40,2
m,5,T5,NA,10000,40,2
m,6,T5,NA,10000,40,2
p,1,T5,151,10,40,2
p,2,T5,142,100,40,2
p,3,T5,1528,10,40,2
p,4,T5,153,100,40,2
p,5,T5,43,1000,40,2
p,6,T5,125,10000,40,2
pm,1,T5,904,10,40,2
pm,2,T5,1248,10,40,2
pm,3,T5,120,10,40,2
pm,4,T5,1688,10,40,2
pm,5,T5,1560,10,40,2
pm,6,T5,894,10,40,2
b,1,T6,NA,10000,40,2
b,2,T6,524,10000,40,2
b,3,T6,912,10000,40,2
b,4,T6,198,10000,40,2
b,5,T6,NA,10000,40,2
b,6,T6,356,10000,40,2
m,1,T6,51,10000,40,2
m,2,T6,NA,10000,40,2
m,3,T6,54,10000,40,2
m,4,T6,66,10000,40,2
m,5,T6,NA,10000,40,2
m,6,T6,NA,10000,40,2
p,1,T6,1200,10,40,2
p,2,T6,44,10000,40,2
p,3,T6,18,1000,40,2
p,4,T6,16,1000,40,2
p,5,T6,41,1000,40,2
p,6,T6,39,10000,40,2
pm,1,T6,420,10,40,2
pm,2,T6,984,10,40,2
pm,3,T6,1336,10,40,2
pm,4,T6,404,10,40,2
pm,5,T6,1024,10,40,2
pm,6,T6,296,10,40,2