well,treat,brep,trep,od_450,od_620,phager,macro_e
A3,macro,1,1,0.781,0.044,NA,NA
A4,macro,1,2,0.842,0.043,NA,NA
A5,macro,2,1,0.981,0.049,NA,NA
A6,macro,2,2,0.944,0.045,NA,NA
A7,macro,3,1,1.463,0.049,NA,NA
A8,macro,3,2,1.439,0.047,NA,NA
B3,anc,1,1,0.823,0.04,N,N
B4,anc,1,2,0.872,0.04,N,N
B5,anc,2,1,0.742,0.048,N,N
B6,anc,2,2,0.542,0.035,N,N
B7,anc,3,1,0.862,0.046,N,N
B8,anc,3,2,0.955,0.039,N,N
C3,b,1,1,0.732,0.044,N,N
C4,b,1,2,0.854,0.041,N,N
C5,b,2,1,0.873,0.043,N,N
C6,b,2,2,0.772,0.035,N,N
C7,b,3,1,0.438,0.043,N,N
C8,b,3,2,0.517,0.043,N,N
D3,bm,1,1,0.62,0.043,N,Y
D4,bm,1,2,0.824,0.045,N,Y
D5,bm,2,1,0.468,0.04,N,Y
D6,bm,2,2,0.626,0.038,N,Y
D7,bm,3,1,0.704,0.043,N,Y
D8,bm,3,2,0.814,0.044,N,Y
E3,bpr,1,1,0.621,0.047,Y,N
E4,bpr,1,2,0.62,0.044,Y,N
E5,bpr,2,1,0.495,0.041,Y,N
E6,bpr,2,2,0.539,0.038,Y,N
E7,bpr,3,1,0.8,0.049,Y,N
E8,bpr,3,2,0.795,0.05,Y,N
F3,bps,1,1,0.594,0.043,N,N
F4,bps,1,2,0.626,0.041,N,N
F5,bps,2,1,0.705,0.043,N,N
F6,bps,2,2,0.862,0.046,N,N
F7,bps,3,1,0.692,0.051,N,N
F8,bps,3,2,0.798,0.045,N,N
G3,bmpr,1,1,0.585,0.048,Y,Y
G4,bmpr,1,2,0.57,0.042,Y,Y
G5,bmpr,2,1,0.549,0.043,Y,Y
G6,bmpr,2,2,0.584,0.043,Y,Y
G7,bmpr,3,1,0.83,0.052,Y,Y
G8,bmpr,3,2,0.723,0.044,Y,Y
H3,bmps,1,1,0.567,0.047,N,Y
H4,bmps,1,2,0.602,0.042,N,Y
H5,bmps,2,1,0.533,0.042,N,Y
H6,bmps,2,2,0.516,0.042,N,Y
H7,bmps,3,1,0.652,0.045,N,Y
H8,bmps,3,2,0.705,0.041,N,Y