rep,macro,time,count,dil,dil_fact,den,lden
1,N,T1,2,100000000,200,40000000000,10.60205999
2,N,T1,8,100000000,200,1.6E+11,11.20411998
3,N,T1,2,100000000,200,40000000000,10.60205999
4,N,T1,13,100000000,200,2.6E+11,11.41497335
5,N,T1,10,100000000,200,2E+11,11.30103
6,N,T1,14,100000000,200,2.8E+11,11.44715803
1,N,T2,3,100000000,200,60000000000,10.77815125
2,N,T2,2,100000000,200,40000000000,10.60205999
3,N,T2,5,100000000,200,1E+11,11
4,N,T2,NA,100000000,200,NA,NA
5,N,T2,4,100000000,200,80000000000,10.90308999
6,N,T2,6,100000000,200,1.2E+11,11.07918125
1,N,T3,4,100000000,200,80000000000,10.90308999
2,N,T3,8,100000000,200,1.6E+11,11.20411998
3,N,T3,1,100000000,200,20000000000,10.30103
4,N,T3,1,100000000,200,20000000000,10.30103
5,N,T3,3,100000000,200,60000000000,10.77815125
6,N,T3,8,10000000,200,16000000000,10.20411998
1,N,T4,7,100000000,200,1.4E+11,11.14612804
2,N,T4,19,100000000,200,3.8E+11,11.5797836
3,N,T4,2,100000000,200,40000000000,10.60205999
4,N,T4,2,100000000,200,40000000000,10.60205999
5,N,T4,8,10000000,200,16000000000,10.20411998
6,N,T4,1,100000000,200,20000000000,10.30103
1,N,T5,11,100000000,200,2.2E+11,11.34242268
2,N,T5,4,100000000,200,80000000000,10.90308999
3,N,T5,2,100000000,200,40000000000,10.60205999
4,N,T5,3,100000000,200,60000000000,10.77815125
5,N,T5,2,100000000,200,40000000000,10.60205999
6,N,T5,5,10000000,200,10000000000,10
1,N,T6,5,100000000,200,1E+11,11
2,N,T6,4,10000000,200,8000000000,9.903089987
3,N,T6,12,10000000,200,24000000000,10.38021124
4,N,T6,10,10000000,200,20000000000,10.30103
5,N,T6,3,10000000,200,6000000000,9.77815125
6,N,T6,2,10000000,200,4000000000,9.602059991
1,Y,T1,3,100000000,200,60000000000,10.77815125
2,Y,T1,6,100000000,200,1.2E+11,11.07918125
3,Y,T1,9,100000000,200,1.8E+11,11.25527251
4,Y,T1,1,100000000,200,20000000000,10.30103
5,Y,T1,13,100000000,200,2.6E+11,11.41497335
6,Y,T1,5,100000000,200,1E+11,11
1,Y,T2,1,100000000,200,20000000000,10.30103
2,Y,T2,3,100000000,200,60000000000,10.77815125
3,Y,T2,4,100000000,200,80000000000,10.90308999
4,Y,T2,3,100000000,200,60000000000,10.77815125
5,Y,T2,1,100000000,200,20000000000,10.30103
6,Y,T2,4,100000000,200,80000000000,10.90308999
1,Y,T3,9,100000000,200,1.8E+11,11.25527251
2,Y,T3,1,100000000,200,20000000000,10.30103
3,Y,T3,1,100000000,200,20000000000,10.30103
4,Y,T3,2,100000000,200,40000000000,10.60205999
5,Y,T3,7,100000000,200,1.4E+11,11.14612804
6,Y,T3,10,100000000,200,2E+11,11.30103
1,Y,T4,4,100000000,200,80000000000,10.90308999
2,Y,T4,7,100000000,200,1.4E+11,11.14612804
3,Y,T4,3,100000000,200,60000000000,10.77815125
4,Y,T4,2,100000000,200,40000000000,10.60205999
5,Y,T4,17,10000000,200,34000000000,10.53147892
6,Y,T4,13,100000000,200,2.6E+11,11.41497335
1,Y,T5,19,100000000,200,3.8E+11,11.5797836
2,Y,T5,1,100000000,200,20000000000,10.30103
3,Y,T5,17,10000000,200,34000000000,10.53147892
4,Y,T5,1,10000000,200,2000000000,9.301029996
5,Y,T5,14,10000000,200,28000000000,10.44715803
6,Y,T5,3,100000000,200,60000000000,10.77815125
1,Y,T6,1,100000000,200,20000000000,10.30103
2,Y,T6,2,100000000,200,40000000000,10.60205999
3,Y,T6,12,10000000,200,24000000000,10.38021124
4,Y,T6,8,10000000,200,16000000000,10.20411998
5,Y,T6,5,10000000,200,10000000000,10
6,Y,T6,8,10000000,200,16000000000,10.20411998